Date-Time,"Space Temperature (No Units)"
2024-12-15 13:15:09,68.5
2024-12-15 13:20:09,69
2024-12-15 13:25:09,69
2024-12-15 13:30:09,68.5
2024-12-15 13:35:09,68.5
2024-12-15 13:40:09,69
2024-12-15 13:45:09,69
2024-12-15 13:50:09,68.5
2024-12-15 13:55:09,68.5
2024-12-15 14:00:09,69
2024-12-15 14:05:09,69
2024-12-15 14:10:09,68.5
2024-12-15 14:15:09,68.5
2024-12-15 14:20:09,69
2024-12-15 14:25:09,69
2024-12-15 14:30:09,69
2024-12-15 14:35:09,68.5
2024-12-15 14:40:09,69
2024-12-15 14:45:09,69
2024-12-15 14:50:09,69
2024-12-15 14:55:09,68.5
2024-12-15 15:00:09,69
2024-12-15 15:05:09,69
2024-12-15 15:10:09,69
2024-12-15 15:15:09,68.5
2024-12-15 15:20:09,69
2024-12-15 15:25:09,69
2024-12-15 15:30:09,69
2024-12-15 15:35:09,68.5
2024-12-15 15:40:09,68.5
2024-12-15 15:45:09,69
2024-12-15 15:50:09,69
2024-12-15 15:55:09,68.5
2024-12-15 16:00:09,69
2024-12-15 16:05:09,69
2024-12-15 16:10:09,69
2024-12-15 16:15:09,68.5
2024-12-15 16:20:09,69
2024-12-15 16:25:09,69
2024-12-15 16:30:09,68.5
2024-12-15 16:35:09,68.5
2024-12-15 16:40:09,69
2024-12-15 16:45:09,69
2024-12-15 16:50:09,68.5
2024-12-15 16:55:09,69
2024-12-15 17:00:09,69
2024-12-15 17:05:09,68.5
2024-12-15 17:10:09,69
2024-12-15 17:15:09,69
2024-12-15 17:20:09,69
2024-12-15 17:25:09,68.5
2024-12-15 17:30:09,69
2024-12-15 17:35:09,69
2024-12-15 17:40:09,69
2024-12-15 17:45:09,68.5
2024-12-15 17:50:09,69
2024-12-15 17:55:09,69
2024-12-15 18:00:09,69
2024-12-15 18:05:09,69
2024-12-15 18:10:09,69
2024-12-15 18:15:09,69
2024-12-15 18:20:09,69
2024-12-15 18:25:09,69
2024-12-15 18:30:09,69
2024-12-15 18:35:09,69
2024-12-15 18:40:09,68.5
2024-12-15 18:45:09,69
2024-12-15 18:50:09,69
2024-12-15 18:55:09,69
2024-12-15 19:00:09,69
2024-12-15 19:05:09,69
2024-12-15 19:10:09,69
2024-12-15 19:15:09,69
2024-12-15 19:20:09,69
2024-12-15 19:25:09,69
2024-12-15 19:30:09,68.5
2024-12-15 19:35:09,69
2024-12-15 19:40:09,69
2024-12-15 19:45:09,68.5
2024-12-15 19:50:09,69
2024-12-15 19:55:09,69
2024-12-15 20:00:09,69
2024-12-15 20:05:09,69
2024-12-15 20:10:09,69
2024-12-15 20:15:09,69
2024-12-15 20:20:09,69
2024-12-15 20:25:09,68.5
2024-12-15 20:30:09,69
2024-12-15 20:35:09,69
2024-12-15 20:40:09,69
2024-12-15 20:45:09,69
2024-12-15 20:50:09,69
2024-12-15 20:55:09,69
2024-12-15 21:00:09,69
2024-12-15 21:05:09,69
2024-12-15 21:10:09,69
2024-12-15 21:15:09,69
2024-12-15 21:20:09,69
2024-12-15 21:25:09,69
2024-12-15 21:30:09,69
2024-12-15 21:35:09,69
2024-12-15 21:40:09,68.5
2024-12-15 21:45:09,69
2024-12-15 21:50:09,69
2024-12-15 21:55:09,69
2024-12-15 22:00:09,69
2024-12-15 22:05:09,69
2024-12-15 22:10:09,69
2024-12-15 22:15:09,69
2024-12-15 22:20:09,69
2024-12-15 22:25:09,69
2024-12-15 22:30:09,69
